Région,Ville,Nom du maire,Date de prise de fonction,Téléphone,Email,Adresse mairie,URL
"Auvergne-Rhône-Alpes","Aboën (42380)","M. Christian JOUVE","25/05/2020","04 77 50 35 12"," mairie-daboen@wanadoo.fr ","120 place des Tilleuls 42380 Aboën","https://www.mon-maire.fr/maire-de-aboen-42"
"Auvergne-Rhône-Alpes","Aydat (63970)","M. Franck SERRE","25/05/2020","04 73 79 37 15"," secretariat@mairieaydat.fr ","2 place de lÉglise 63970 Aydat","https://www.mon-maire.fr/maire-de-aydat-63"
"Auvergne-Rhône-Alpes","Bouchet (26790)","M. Jean-Michel AVIAS","25/05/2020","04 75 04 80 11"," contact@mairie-bouchet.com ","4 place de la Mairie 26790 Bouchet","https://www.mon-maire.fr/maire-de-bouchet-26"
"Auvergne-Rhône-Alpes","Chanas (38150)","M. Jean-Charles MALATRAIT","24/05/2020","04 74 84 33 77"," contact@mairie-chanas.fr ","8 place de France CS 80629 38150 Chanas","https://www.mon-maire.fr/maire-de-chanas-38"
"Auvergne-Rhône-Alpes","Cistrières (43160)","Mme Sylvie BARBÉ","27/05/2020","04 71 00 02 47"," mairiecistrieres@orange.fr ","Le Bourg 43160 Cistrières","https://www.mon-maire.fr/maire-de-cistrieres-43"
"Auvergne-Rhône-Alpes","Désaignes (07570)","M. François SOUBEYRAND","23/05/2020","04 75 06 61 49"," mairie@desaignes.fr ","130 place de la Mairie 07570 Désaignes","https://www.mon-maire.fr/maire-de-desaignes-07"
"Auvergne-Rhône-Alpes","Francheleins (01090)","M. Jean-Michel LUX","25/05/2020","04 74 69 31 74"," mairie.francheleins@k-net.fr ","611 Grande rue 01090 Francheleins","https://www.mon-maire.fr/maire-de-francheleins-01"
"Auvergne-Rhône-Alpes","L'Étrat (42580)","M. Yves MORAND","27/05/2020","04 77 91 31 31"," etrat.mairie@orange.fr ","175 rue de Verdun BP 7 42580 L'Étrat","https://www.mon-maire.fr/maire-de-letrat-42"
"Auvergne-Rhône-Alpes","Lamothe (43100)","M. Alain JARLIER","26/05/2020","04 71 76 44 40"," mairie.lamothe@wanadoo.fr ","12 rue de Vialle 43100 Lamothe","https://www.mon-maire.fr/maire-de-lamothe-43"
"Auvergne-Rhône-Alpes","Les Houches (74310)","Mme Ghislaine BOSSONNEY","28/06/2020","04 50 54 40 04"," mairie@leshouches.fr ","1 place de la Mairie BP 1 74310 Les Houches","https://www.mon-maire.fr/maire-de-les-houches-74"
"Auvergne-Rhône-Alpes","Mauriac (15200)","Mme Edwige ZANCHI","27/05/2020","04 71 68 01 85"," mairie@mauriac.fr ","20 place Georges-Pompidou 15200 Mauriac","https://www.mon-maire.fr/maire-de-mauriac-15"
"Auvergne-Rhône-Alpes","Montriond (74110)","M. Jean-Claude DENNE","18/05/2020","04 50 79 14 14"," mairie@montriond.fr ","15 Vieille-Route 74110 Montriond","https://www.mon-maire.fr/maire-de-montriond-74"
"Auvergne-Rhône-Alpes","Perpezat (63210)","M. Patrice FAURE","23/05/2020","04 73 65 81 24"," mairie.perpezat@wanadoo.fr ","Le Bourg 63210 Perpezat","https://www.mon-maire.fr/maire-de-perpezat-63"
"Auvergne-Rhône-Alpes","Rivas (42340)","M. Bruno CHALAYER","26/05/2020","04 77 54 63 43"," mairie.rivas@wanadoo.fr ","2 place de l'Église 42340 Rivas","https://www.mon-maire.fr/maire-de-rivas-42"
"Auvergne-Rhône-Alpes","Saint-Christophe-d'Allier (43340)","M. Philippe CHAM","27/05/2020","04 66 69 63 36"," christian.pougnet@wanadoo.fr ","Le Bourg 43340 Saint-Christophe-d'Allier","https://www.mon-maire.fr/maire-de-saint-christophe-dallier-43"
"Auvergne-Rhône-Alpes","Saint-Jacques-des-Blats (15800)","Mme Linda BENARD","03/07/2020","04 71 47 05 90"," mairie-st-jacques-des-blats@orange.fr ","Le Bourg 15800 Saint-Jacques-des-Blats","https://www.mon-maire.fr/maire-de-saint-jacques-des-blats-15"
